序号,技能名,所需士气,过载时间,激活被动技能,特效名称,释放特效(第三系),天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型(0:无效|1：智力|2：武力|3：兵力|4：智力目标数影响|5：武力目标数影响|13：兵力目标数影响),扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|14:天变|15:召唤|16:将魂|17:护盾,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,过载时间,激活被动技能,特效名称,天气ID,召唤技能ID(0无召唤技能),召唤武将,扩展类型,扩展条件ID,目标(0友方|1敌方),显示类型|1:强化|2:弱化|3:恢复|4:火计|5:落雷|6:号令|7:无双|8:毒计|9:巨石|10:风阵|11:玄冰|12:冰降|,伤害类型|1:物理|3:肉搏|4:突击|5:迎击|6:枪击|7:射击|8:贯射|51:武力技能伤害|101:魔法|151:技能伤害|152:火伤|153:雷伤|154:冰伤|155:毒伤|202:PK,类型,范围,持续时间,速度取值,治疗取值,杀伤取值1,杀伤取值2,攻防改变,智力改变,是否包含特殊技,特殊技类型,特殊技参数,指挥技能ID,加成方式（0标量，1系数）,加成参考目标（0：字面值 ，其他：SkillTarget）,持续时间受智力影响系数,可叠加技能,可受将魂技能影响持续时间,技能简述,技能说明
id,strName,fNeedMoral,nMainOverload,nMainPassiveSkill,strMainFX,strCastFx,nWeatherID,nArrEquipEffectID,strSummonWarrior,nExType,nExCondition,nMainTarget,nMainDisplayType,nDamageType,nMainType,nMainRange,nMainLifeRound,fMainSpeed,fMainBaseCureValue,fMainBaseDamageValue1,fMainBaseDamageValue2,fMainForceEffect,fMainIntelligenceEffect,nMainContainSpecialSkill,nMainSpecialSkillType,strMainSpecialSkillParam,nMainCommanderSkillID,nMainEffectType,nMainRefTarget,fMainLifeRoundOnIntelligence,nMainOnRepeat,nMainLifeRoundOnJianghun,nSubOverload,nSubPassiveSkill,strSubFX,nSubWeatherID,nArrSubEquipEffectID,strSubSummonWarrior,nSubExType,nExSubCondition,nSubTarget,nSubDisplayType,nSubDamageType,nSubType,nSubRange,nSubLifeRound,fSubSpeed,fSubBaseCureValue,fSubBaseDamageValue1,fSubBaseDamageValue2,fSubForceEffect,fSubIntelligenceEffect,nSubContainSpecialSkill,nSubSpecialSkillType,strSubSpecialSkillParam,nSubCommanderSkillID,nSubEffectType,nSubRefTarget,fSubLifeRoundOnIntelligence,nSubOnRepeat,nSubLifeRoundOnJianghun,strBrife,strDesc
int,string,float,int,int,string,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,int,int,string,int,int[3],string,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int,int,string,int,int,int,float,int,int,string,string
10010010,觉·大红莲疾风,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,13,14,1.3,0.0288,0,0,1.8,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,5,14,2.8,0,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体骑兵部队武力强化，加速并持续恢复生命值并使距离自己最近的敌方部队加速,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n己方全体骑兵部队武力值提高[fed655]80%[-]，移动速度提高[fed655]30%[-]，并每秒恢复[fed655][cure_param][-]点生命值，持续[fed655][duration][-]秒，同时使距离自己最近的敌方部队移动速度提高[fed655]180%[-]，基础持续时间[fed655]14[-]秒，实际持续时间受双方智力差距影响
10010011,天·威扬八荒,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,5,15,14,1.5,0,0,0,1.55,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,0,1,0,1,7,10,1,0,0,0,1.55,1,1,1004,CReceivedNormalAttackDamageScale:0.7,0,1,1,1,0,1,己方全体蜀国部队武力强化，己方武力最高部队武力强化，受到普通攻击减少,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n己方全体蜀国部队武力值提高[fed655]55%[-]，移动速度提高[fed655]50%[-]，持续[fed655][duration][-]秒，[ff0000]同时己方武力最高部队武力值提高55%，受到普攻伤害降低30%[-]，[fed655][duration1][-]秒
10010012,天·威扬八荒,4,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,5,15,14,1.5,0,0,0,1.55,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,0,1,0,1,7,10,1,0,0,0,1.55,1,1,1004,CReceivedNormalAttackDamageScale:0.7,0,1,1,1,0,1,己方全体蜀国部队武力强化，己方武力最高部队武力强化，受到普通攻击减少,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n己方全体蜀国部队武力值提高[fed655]55%[-]，移动速度提高[fed655]50%[-]，持续[fed655][duration][-]秒，[ff0000]同时己方武力最高部队武力值提高55%，受到普攻伤害降低30%[-]，[fed655][duration1][-]秒
10010013,觉·白衣渡江,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,9,1,10,1,0,0,0,2.2,1.3,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,4,0,0,7,51,8,1,0,1,0,0.91,0,1,1,0,0,null,0,1,1,1,0,1,使自身损失生命值，并使自身武力智力强化,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n对自身造成当前生命值[ff0000]91%[-]的武力伤害，同时自身武力值提高[ff0000]120%[-]，智力值提高[ff0000]30%[-]，持续[fed655][duration][-]秒
10010014,觉·白衣渡江,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,1,0,9,1,10,1,0,0,0,2.2,1.3,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,4,0,0,7,51,8,1,0,1,0,0.91,0,1,1,0,0,null,0,1,1,1,0,1,使自身损失生命值，并使自身武力智力强化,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n对自身造成当前生命值[ff0000]91%[-]的武力伤害，同时自身武力值提高[ff0000]120%[-]，智力值提高[ff0000]30%[-]，持续[fed655][duration][-]秒
10010015,觉·无双的意志,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,12,1,0,0,0,2,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,21,12,1,0,0,0,1.25,1.25,0,0,null,0,1,1,1,0,1,自身武力强化，己方全体武将武力强化,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n自身武力值提高[fed655]100%[-]（限定卡[fed655]105%[-]），持续[fed655][duration][-]秒，[ff0000]同时己方全体女性武将武力值和智力值提高25%（限定卡30%）(含自身)，持续[duration1]秒[-]
10010016,觉·无双的意志,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,7,0,1,1,12,1,0,0,0,2.05,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillfxStrengthen_Prefab,0,0|0|0,0,1,0,0,6,0,1,21,12,1,0,0,0,1.3,1.3,0,0,null,0,1,1,1,0,1,自身武力强化，己方全体武将武力强化,该武将技能效果获得如下提升：\n（仅在巅峰竞技系统有效）\n自身武力值提高[ff0000]105%[-]，持续[fed655][duration][-]秒，同时己方全体女性[ff0000]武将[-]武力值[ff0000]和智力值[-]提高[fed655]30%[-](含自身)，持续[fed655][duration1][-]秒
92011,振奋军心,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,14,1.2,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92012,振奋军心,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,14,1.2,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92013,振奋军心,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,14,1.2,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92014,振奋军心,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,14,1.2,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92015,突击,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,1,14,1.2,0.02,0,0,2,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92021,嘲讽,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0.02,0,0,1.3,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1.5,0,0,0,0.8,0.8,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92022,扰袭,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0.02,0,0,1.3,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1,0,0,0,0.8,0.8,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92023,扰袭,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0.02,0,0,1.3,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1,0,0,0,0.8,0.8,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92024,突击,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,1,20,1.7,0.02,0,0,1.7,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1,0,0,0,0.8,0.8,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92025,突击,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,1,20,1.7,0.02,0,0,1.7,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1,0,0,0,0.8,0.8,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92031,背水一战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.4,1.4,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并获得护盾,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92032,背水一战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.4,1.4,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并获得护盾,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92033,背水一战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.03,0,0,1.7,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,2,0,1,7,51,8,8,0,1,0,1.5,0.3,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，并对距离最近的敌方部队造成伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92034,背水一战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.03,0,0,1.7,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,2,0,1,7,51,8,8,0,1,0,1.5,0.3,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，并对距离最近的敌方部队造成伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92035,背水一战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.03,0,0,1.7,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,2,0,1,7,51,8,8,0,1,0,1.5,0.3,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，并对距离最近的敌方部队造成伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92041,埋伏,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.2,1.2,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,2,20,1,0,0,0,1,0.5,0,0,null,0,1,1,1,0,1,自身周围敌方部队智力弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92042,埋伏,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,2,20,1,0,0,0,0.4,0.4,0,0,null,0,1,1,1,0,1,自身周围敌方部队武力智力弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92043,毒计,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.02,0,0,1.2,1.2,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillPoisonfog_Prefab,0,0|0|0,0,1,0,1,8,155,10,3,14,0.7,0,0.039,-0.8736,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队受到持续伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92044,毒计,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.02,0,0,1.2,1.2,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillPoisonfog_Prefab,0,0|0|0,0,1,0,1,8,155,10,3,14,0.7,0,0.039,-0.8736,1,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值，敌方全体部队受到持续伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92045,自焚,3,0,0,Battlefield/SkillFxFire_Prefab,,0,0|0|0,0,1,0,1,8,152,10,1,20,0.7,0,0.069,-0.8736,1,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFire_Prefab,0,0|0|0,0,1,0,1,8,152,10,3,14,0.7,0,0.069,-0.8736,1,1,0,0,null,0,1,1,1,0,1,对自身及敌方部队造成持续伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92051,劫掠,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,12,20,1.5,0,0,0,1,1,0,0,null,0,1,1,1,0,1,己方全体部队武力智力强化，敌方弓兵部队移动速度增加,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92052,劫掠,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,12,20,1,0,0,0,0.4,1,0,0,null,0,1,1,1,0,1,己方全体部队武力智力强化，敌方弓兵部队武力值降低,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92053,劫掠,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.4,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,12,20,1,0,0,0,1,0.4,0,0,null,0,1,1,1,0,1,己方全体部队武力智力强化，敌方弓兵部队智力值降低,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92054,威吓,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.2,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,3,20,1,0,0,0,1,1,1,1003,CReceivedCureScale:-1,0,1,1,1,0,1,己方全体部队武力智力强化，敌方部队受到的治疗效果降低,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92055,偷袭,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1.2,0,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillFxFlyAxe,0,0|0|0,0,2,0,1,7,51,8,6,0,1,0,2.5,0.3,1,1,0,0,null,0,1,1,1,0,1,己方全体部队武力智力强化，对距离最远的敌方部队造成伤害,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92061,铜墙铁壁,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.5,1,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并获得护盾,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92062,铜墙铁壁,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.5,1,1,1002,ShieldPoint:[MAXHP]*0.3,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并获得护盾,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92063,浴血奋战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92064,浴血奋战,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0.02,0,0,1.5,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，并持续回复生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92065,古之恶来,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,5,0,0,6,0,1,1,20,1,0,0.02,0,3,1,1,1002,ShieldPoint:[MAXHP]*0.6,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力智力强化，但持续损失生命值,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92071,蓄势待发,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.5,1.5,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92072,英勇,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,1,20,1,0,0,0,2,1,0,0,null,0,1,1,1,0,1,0,0,0,0,0|0|0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,1,1,1,0,1,自身武力智力强化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
92073,独目怒视,3,0,0,Battlefield/SkillfxStrengthen_Prefab,,0,0|0|0,0,1,0,0,6,0,1,14,20,1,0,0,0,1.8,1,0,0,null,0,1,1,1,0,1,0,0,Battlefield/SkillWeaken_Prefab,0,0|0|0,0,1,0,1,2,0,2,2,20,1,0,0,0,0.3,1,0,0,null,0,1,1,1,0,1,己方全体魏国部队武力智力强化，自身周围敌方部队武力弱化,己方全体魏国部队武力值提高[fed655]50%[-]，移动速度提高[fed655]20%[-]，并每秒恢复[fed655][cure_param][-]点生命值，每秒恢复持续[fed655][duration][-]秒
