道具ID,商品类型,商品子类型,商品数量,需要战力,货币类型,货币子类型,价格,自定义参数,自定义参数,商品描述
72003,1,461,1,0,103,21,15000,0,0,武将“文帝曹丕纪念版”
72004,1,462,1,0,103,21,15000,0,0,武将“思召袁绍纪念版”
72005,2,0,100000,0,103,21,50,0,0,卡魂可用于加强武将能力、升级封地等级等
72006,200,62,50,0,103,21,500,0,0,陨铁，用于修复兵符
72007,200,68,50,0,103,21,500,0,0,散发着紫色光芒的宝石，可用于洗练兵符。
72008,28,0,50,0,103,21,2000,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
72009,23,0,30,0,103,21,1200,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
72010,200,60,10,0,103,21,400,0,0,石精，用于强化兵符
72011,39,0,5,0,103,21,300,0,0,齿轮，可以用于机关人转化产出血玉及卡魂。
72012,24,0,5,0,103,21,450,0,0,漆盘卷，一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
72013,27,0,5,0,103,21,600,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
72014,29,0,5,0,103,21,1500,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
72015,16,1,5,0,103,21,1000,0,0,青龙石，“四圣兽●青龙”精魂化为的玉石，可以增加武力、智力、兵力。
72016,17,1,5,0,103,21,600,0,0,白虎石，“四圣兽●白虎”精魂化为的玉石，可以增加武力、兵力。
72017,26,0,5,0,103,21,1900,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
81001,200,72,400,0,200,75,100,0,0,训之书，用于战意系统武将训练
81002,200,73,200,0,200,75,100,0,0,育之种，用于战意系统训练师升级
81003,200,74,500,0,200,75,50,0,0,时之漏，用于战意系统时间加速
81004,27,0,1,0,200,75,60,0,0,银币，刻有奇怪符号的银币，可以用于“钻石招募”。
81005,26,0,1,0,200,75,190,0,0,金币，刻有奇怪符号的金币，可以用于“精选招募”。
81006,24,0,1,0,200,75,45,0,0,漆盘卷，一张刻有古老文字的羊皮纸，可用于“圣石漆盘”。
81007,28,0,5,0,200,75,100,0,0,印玉，刻有天命之印的玉石，可以用于武将的“升星”。
81008,29,0,1,0,200,75,150,0,0,血玉，含有绝世武将精血的玉石，可用来提升钻石武将，战器的等级。
81009,23,0,3,0,200,75,60,0,0,传承卷，一张刻有古老文字的羊皮纸，可用于“武将传承”。
81010,200,59,1,0,200,75,150,0,0,重置券，可以改变战器的词条数量。
81011,54,0,1,0,200,75,150,0,0,保底券，使用此券进行战器强化失败后不会降低战器强化等级
81012,2,0,20000,0,200,75,2,0,0,卡魂，可用于加强武将能力、升级封地等级等
